Coach,Max HR,Average HR,Class
Chris,173,151,Fitbox
Trey,175,156,Personal
Jojo,176,144,Fitbox
Maura,174,150,Personal
Keller,178,145,Fitbox
Logan,170,141,Skillbox
Josh,180,157,Fitbox
Trey,170,146,Contact
Josh,172,155,Fitbox
Jojo,172,152,Fitbox
Chris,178,160,Fitbox
Trey,179,155,Personal
Maura,180,151,Fitbox
Logan,177,164,Corebox
Keller,178,153,Fitbox
Logan,171,145,Contact
Chris,170,147,Fitbox
Trey,173,149,Contact
Logan,177,146,Fitbox
Dean,175,151,Contact
Maura,177,156,Fitbox
Chris,171,154,Fitbox
Trey,164,135,Contact
Maura,170,136,Fitbox
Josh,169,141,Fitbox
Josh,174,143,Fitbox
Chris,172,151,Fitbox
Josh,173,151,Fitbox
Trey,169,140,Contact
Logan,166,135,Fitbox
Josh,172,144,Fitbox
Chris,178,156,Fitbox
Dean,177,149,Personal
Dean,171,154,Contact
Josh,175,161,Fitbox
Chris,171,149,Fitbox
Josh,174,153,Fitbox
Logan,171,147,Fitbox
Chris,173,152,Fitbox
Trey,172,151,Contact
Maura,173,145,Fitbox
Josh,174,146,Fitbox
Maura,170,147,Fitbox
Maura,176,159,Fitbox
Chris,180,156,Fitbox
Trey,179,149,Contact
Maura,177,153,Fitbox
Josh,179,150,Fitbox
